GRB Name,z,T90,S,S_err,log(Ta/1000),logTa_err,log(Lx),logLx_err,logEiso,logEiso_err,Alpha_1,alpha_1_err,Alpha_2,alpha_2_err
50318,1.44,32,10.8,0.77,0.63,0.18,0.08,0.29,_1.27,0.03,0.56,0.21,2.21,0.18
050820A,2.612,26,34.4,2.42,1.55,0.17,0.1,0.45,_0.68,0.03,0.95,0.02,1.51,0.05
50822,1.434,103.4,24.6,1.72,0.74,0.2,_0.22,0.12,_0.74,0.03,0.14,0.09,1.15,0.05
050915A,2.5273,52,8.5,0.88,0.76,0.28,_0.35,0.47,_1.23,0.04,0.71,0.05,1.61,0.2
050922B,4.9,150.9,22.3,3.56,1.26,0.21,0.83,0.22,0.12,0.07,_0.02,0.14,1.68,0.14
51008,2.9,32,50.9,1.45,0.67,0.11,0.51,0.17,_0.53,0.01,0.59,0.11,2.41,0.15
60306,1.55,61.2,21.3,1.18,_0.04,0.38,0.51,0.17,_0.96,0.02,0.11,0.17,1.17,0.07
60319,1.172,10.6,2.64,0.34,0.61,0.09,_0.59,0.04,_1.91,0.06,_0.6,0.35,1.18,0.04
60719,1.532,66.9,15,0.91,0.28,0.26,0.17,0.19,_1.08,0.03,0.17,0.12,1.32,0.08
70328,2.0627,75.3,90.6,1.79,_0.77,0.04,2.49,0.02,_0.39,0.01,_0.27,0.1,1.53,0.02
070419B,1.9588,236.4,73.6,1.95,0.94,0.12,0.57,0.17,_0.31,0.01,0.63,0.1,2.3,0.12
70521,0.553,37.9,80.1,1.77,0.69,0.08,_0.66,0.16,_1.37,0.01,0.46,0.04,2.06,0.09
71021,2.452,225,13,2,0.31,0.47,0,0.42,_0.9,0.07,0.11,0.19,1.14,0.11
080413B,1.1,8,32,1,0.81,0.24,_0.37,0.11,_1.23,0.01,0.72,0.03,1.39,0.05
80710,0.845,120,14,2,0.91,0.14,_0.88,0.1,_1.72,0.06,0.61,0.13,2.16,0.15
81210,2.0631,146,18,2,1.95,0.06,_1.38,0.11,_1.01,0.05,0.64,0.05,3.71,0.54
81222,2.7,24,48,1,0.66,0.17,0.63,0.27,_0.62,0.01,0.88,0.02,1.65,0.07
90404,3,84,30,1,0.7,0.07,0.83,0.06,_0.03,0.01,0.12,0.05,1.44,0.05
90426,2.609,1.2,1.8,0.3,_1.28,0.23,1.29,0.09,_1.59,0.07,_0.38,0.5,1.09,0.06
100724A,1.288,1.4,1.6,0.2,0.25,0.32,_0.62,0.27,_2.18,0.05,0.69,0.09,1.5,0.17
110801A,1.858,385,47,3,0.59,0.22,0.17,0.34,_0.46,0.03,0.7,0.09,1.8,0.14
120907A,0.97,16.9,6.7,1.1,1.13,0.14,_1.14,0.14,_1.85,0.07,0.72,0.02,1.39,0.08
130505A,2.27,88,210,10,0.49,0.13,1.6,0.11,0.31,0.02,0.39,0.13,1.63,0.04
130609B,1.3,210.6,160,0,0.79,0.05,0.33,0.08,_0.39,0,0.85,0.03,2.84,0.14
140419A,3.956,94.7,160,0,_0.18,0.28,2.07,0.16,0.15,0,0.3,0.19,1.48,0.07
150314A,1.758,14.79,220,3,0.45,0.07,1.02,0.05,_0.17,0.01,_0.41,0.3,1.95,0.07
161014A,2.823,18.3,19,2,0.09,0.13,1.15,0.2,_0.77,0.05,0.55,0.08,2.52,0.18
190106A,1.86,76.8,60,2,0.92,0.12,0.55,0.13,_0.54,0.01,0.28,0.05,1.62,0.06
190114A,3.3765,66.6,8,1.2,_0.3,0.22,1.32,0.09,_0.67,0.07,_0.09,0.19,1.25,0.1
191011A,1.722,7.37,3.3,0.4,_0.73,0.18,0.57,0.09,_1.63,0.05,_0.24,0.24,1.36,0.09
200829A,1.25,13.04,510,10,0.47,0.06,1.16,0.08,_0.09,0.01,0.87,0.01,1.89,0.04
201221A,5.7,44.5,18,2,0.54,0.1,0.3,0.17,_0.5,0.05,0.585,0.05,2.92,0.75
210210A,0.715,6.6,9.8,0.8,0.46,0.1,_0.18,0.1,_1.99,0.04,0.29,0.07,1.8,0.11
210610A,3.54,13.62,10,1,_0.8,0.16,1.5,0.06,_0.97,0.04,_0.39,0.18,1.12,0.07
210722A,1.145,50.2,25,2,0.59,0.28,_0.12,0.32,_1.19,0.03,0.63,0.09,1.73,0.17
220521A,5.6,13.55,8.1,0.8,_0.94,0.12,2.1,0.06,_0.39,0.04,_0.56,0.21,1.68,0.14
