GRB Name,z,T90,logFx,logFx_err,S,S_err,log(Ta/1000),logTa_err,log(Lx),logLx_err,logEiso,logEiso_err,Alpha_1,alpha_1_err,Alpha_2,alpha_2_err
50607,14.21,26.4,_11.89,0.24,5.92,0.55,_0.4,0.46,1.96,0.24,_0.03,0.04,0.21,0.19,1.3,0.14
50712,2.4,51.6,_12.08,0.17,10.8,1.19,1.02,0.18,_0.35,0.17,_1.1,0.05,0.46,0.08,1.3,0.07
050713A,2.54,124.7,_11.08,0.22,51.1,2.12,0.53,0.17,0.76,0.22,_0.37,0.02,0.53,0.04,1.43,0.05
050713B,0.32,54.2,_11.12,0.13,31.8,3.18,1.35,0.1,_1.57,0.13,_2.15,0.04,0.16,0.07,1.36,0.05
50726,1.05,49.9,_10.95,0.35,19.4,2.12,0.41,0.22,_0.17,0.35,_1.59,0.05,0.66,0.1,2.01,0.17
60105,0.67,54.4,_9.57,0.04,176,3.04,0.1,0.04,0.75,0.04,_0.88,0.01,0.68,0.02,2,0.06
60109,0.98,115.4,_11.18,0.08,6.55,1.03,0.47,0.1,_0.4,0.08,_1.8,0.07,_0.21,0.11,1.68,0.1
060111B,2.55,58.8,_11.65,0.47,16,1.42,0.41,0.27,0.21,0.47,_1.16,0.04,0.7,0.08,1.74,0.18
060204B,1.44,139.4,_11.25,0.32,29.5,1.78,0.58,0.25,_0.05,0.32,_1.26,0.03,0.6,0.08,1.71,0.11
60413,0.08,147.7,_10.76,0.04,35.6,1.47,1.39,0.03,_2.6,0.04,_3.31,0.02,_0.13,0.09,3.43,0.17
060428A,0.04,39.5,_11.79,0.08,13.9,0.78,2.17,0.07,_4.18,0.08,_4.26,0.02,0.48,0.02,1.68,0.06
060510A,0.2,20.4,_9.97,0.06,80.5,3.12,0.69,0.06,_0.91,0.06,_2.13,0.02,0.05,0.05,1.55,0.03
60712,3.65,26.3,_11.89,0.27,12.4,2.17,0.2,0.42,0.79,0.27,_0.72,0.08,0.12,0.16,1.24,0.12
60807,0.21,54,_10.96,0.05,8.48,1.09,0.82,0.06,_1.83,0.05,_3.07,0.06,_0.1,0.06,1.85,0.06
60813,0.98,16.1,_10.45,0.11,54.6,1.4,0.4,0.15,0.22,0.11,_1.15,0.01,0.61,0.04,1.62,0.06
61202,0.42,91.2,_11.16,0.05,34.2,1.33,1.34,0.05,_1.33,0.05,_1.88,0.02,0.12,0.05,2.33,0.11
70107,4.78,347.3,_12.62,0.07,51.7,2.64,1.65,0.04,_0.18,0.07,_0.18,0.02,0.9,0.01,2.84,0.3
70420,3.31,76.5,_10.47,0.1,140,4.48,0.1,0.11,1.51,0.1,0.01,0.01,0.27,0.08,1.66,0.05
